title,company,location,url,keywords,search_location,description
"Electrical Engineer | Remote
Electrical Engineer | Remote",,Remote,https://www.linkedin.com/jobs/view/4466385599/?eBP=CwEAAAGguFW1iaw4PvJxoOHfh0aURxg5alvLsbFHeoArYkky0zonWWMXY1umA_JuCik4kQy3zf0hsT6PNJnmudCNuePo7cFZAnmMg9gesdA0fGAFol2ZUhvvfaOOBMzyegW_TuA_gNpVMMZqEwq5BEtvpkDJi5QMOn-pXmfezZdyZL925bkMUzBYJEAVc9_dXu_95a53c1QBAz8Zdz8HlmEv2sfg1TDtgf7J7RkRse9EM7IqUGKbP7EzT0LJOlfinY4i6P91FucUXGKIBYTAp9FGnO4OzurPCEcjO7dgQ6jVM_2z8ZaVNWYmltuGrpiw5Jo-sHBg7J2sGIwDyQHjLieFPBYMB3PiLMy2OSKbzLW--OO0cpFkYFO2Y-1nbddwmL_w-1X5WVdWuH8lHZ3iJDT47cfUpEZAdAACKwMRKSTECGS2wcGUlJRE2AUzQA6u__mhgMX1weH-Wboy00_y4qJmCXQvGSGWmBdF8MybSyJu-4a5HjgOOgA8Bw0nPhLi-yI&refId=HF%2FmQjeG9pzvphXTdJIjIg%3D%3D&trackingId=%2FSNVvAacJVQc2FhCqG%2B48Q%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,
"Electronic Engineer
Electronic Engineer",,Shipboard (worldwide travel),https://www.linkedin.com/jobs/view/4457602129/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=HF%2FmQjeG9pzvphXTdJIjIg%3D%3D&trackingId=vsoJeQ%2BT03Ge25qJereCbw%3D%3D&trk=flagship3_search_srp_jobs,PLC programming,Sudan,
Electrical Engineer | Remote,,Remote,https://www.linkedin.com/jobs/view/4466385599/?alternateChannel=search&eBP=CwEAAAGguFW1iaw4PvJxoOHfh0aURxg5alvLsbFHeoArYkky0zonWWMXY1umA_JuCik4kQy3zf0hsT6PNJnmudCNuePo7cFZAnmMg9gesdA0fGAFol2ZUhvvfaOOBMzyegW_TuA_gNpVMMZqEwq5BEtvpkDJi5QMOn-pXmfezZdyZL925bkMUzBYJEAVc9_dXu_95a53c1QBAz8Zdz8HlmEv2sfg1TDtgf7J7RkRse9EM7IqUGKbP7EzT0LJOlfinY4i6P91FucUXGKIBYTAp9FGnO4OzurPCEcjO7dgQ6jVM_2z8ZaVNWYmltuGrpiw5Jo-sHBg7J2sGIwDyQHjLieFPBYMB3PiLMy2OSKbzLW--OO0cpFkYFO2Y-1nbddwmL_w-1X5WVdWuH8lHZ3iJDT47cfUpEZAdAACKwMRKSTECGS2wcGUlJRE2AUzQA6u__mhgMX1weH-Wboy00_y4qJmCXQvGSGWmBdF8MybSyJu-4a5HjgOOgA8Bw0nPhLi-yI&refId=HF%2FmQjeG9pzvphXTdJIjIg%3D%3D&trackingId=%2FSNVvAacJVQc2FhCqG%2B48Q%3D%3D&trk=d_flagship3_search_srp_jobs,PLC programming,Sudan,
Service Technician,,Sudan – Field Based,https://sd.linkedin.com/jobs/view/service-technician-at-dal-group-engineering-division-ded-4466289776?position=14&pageNum=0&refId=BQu80n8xT%2F9WXxBA6%2FUzvQ%3D%3D&trackingId=nOG0qf0jS351CZnKNzZVsA%3D%3D,classic control,Sudan,
Service Technician,,Sudan – Field Based,https://sd.linkedin.com/jobs/view/service-technician-at-dal-group-engineering-division-ded-4466289776?position=1&pageNum=0&refId=fpTDjCVdmKvtcVg9bpkCDQ%3D%3D&trackingId=KymGetSkHrEL1aR%2Fhnyt8Q%3D%3D,electrical control engineer,Sudan,
Service Technician,,Sudan – Field Based,https://sd.linkedin.com/jobs/view/service-technician-at-dal-group-engineering-division-ded-4466289776?trk=public_jobs_topcard-title,electrical control engineer,Sudan,
Service Technician,,Sudan – Field Based,https://sd.linkedin.com/jobs/view/service-technician-at-dal-group-engineering-division-ded-4466289776?position=1&pageNum=0&refId=Zx0is1QIwsqQTn6DBNwrQQ%3D%3D&trackingId=Z6CKMptkYQZjK%2Bq2KgBXgA%3D%3D,industrial automation,Sudan,
Control Systems Simulation and Calibration Engineer,,,https://tr.linkedin.com/jobs/view/control-systems-simulation-and-calibration-engineer-at-avl-in-t%C3%BCrkiye-research-and-engineering-4464538048?position=1&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=9V%2B%2BruVHZmwLdx%2B0OpbxKg%3D%3D,control systems,Middle East,
"Controls Engineer II (SCADA, Ignition experience)",,,https://eg.linkedin.com/jobs/view/controls-engineer-ii-scada-ignition-experience-at-advansys-4464345737?position=2&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=8m62U%2BspXC2fn15YBX9aMw%3D%3D,control systems,Middle East,
Senior Robotics Connectivity and Real-Time Systems Engineer,,Remote,https://tr.linkedin.com/jobs/view/senior-robotics-connectivity-and-real-time-systems-engineer-at-siemens-4451916113?position=3&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=Nj%2FLlGi32hEcubjeUsIHZg%3D%3D,control systems,Middle East,
"Automation Engineer, Powertrain",,,https://sa.linkedin.com/jobs/view/automation-engineer-powertrain-at-lucid-motors-middle-east-4463854749?position=4&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=ixMAR7xAVWX2YuSM3Z76xg%3D%3D,control systems,Middle East,
Powertrain Control Systems Simulation Engineer,,,https://tr.linkedin.com/jobs/view/powertrain-control-systems-simulation-engineer-at-ford-otosan-4463990259?position=5&pageNum=0&refId=cmoZTkJGPfp%2BnKerVRI2NQ%3D%3D&trackingId=gAY0u3PPkJrgP8LH9DpQ1A%3D%3D,control systems,Middle East,
